Model,Vintage,Area,Material,Series_Cells,Parallel_C-S,Isco,Voco,Impo,Vmpo,aIsc,aImp,C0,C1,BVoco,mBVoc,BVmpo,mBVmp,n,C2,C3,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,B5,d(Tc),fd,a,b,C4,C5,Ixo,Ixxo,C6,C7,Picture,Description
"ASE-300-DGF/17 (285)","1999 (E)",2.427000,"EFG mc-Si",36,6,18.400000,20.800000,16.800000,17.000000,0.000920,0.000360,0.994000,0.006000,-0.075600,0.000000,-0.079300,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,18.200000,12.000000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 36 in series string, 6 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box."
"ASE-300-DGF/17 (300)","1999 (E)",2.427000,"EFG mc-Si",36,6,19.100000,21.100000,17.400000,17.200000,0.000920,0.000360,0.994000,0.006000,-0.075600,0.000000,-0.079300,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,18.900000,12.500000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 36 in series string, 6 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box."
"ASE-300-DGF/50","1995",2.430000,"EFG mc-Si",108,2,6.346000,63.360000,5.782000,50.240000,0.001000,0.000340,0.994000,0.006000,-0.223000,0.000000,-0.232000,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,6.250000,4.150000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 108 in series string, 2 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box."
"ASE-300-DGF/50 (265)","1999 (E)",2.427000,"EFG mc-Si",108,2,5.800000,62.000000,5.300000,50.000000,0.000920,0.000360,0.994000,0.006000,-0.227000,0.000000,-0.238000,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,5.700000,3.900000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 108 in series string, 2 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box"
"ASE-300-DGF/50 (285)","1999 (E)",2.427000,"EFG mc-Si",108,2,6.200000,62.500000,5.600000,50.500000,0.000920,0.000360,0.994000,0.006000,-0.227000,0.000000,-0.238000,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,6.130000,4.020000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 108 in series string, 2 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box."
"ASE-300-DGF/50 (300)","1999 (E)",2.427000,"EFG mc-Si",108,2,6.500000,63.300000,5.900000,51.000000,0.000920,0.000360,0.994000,0.006000,-0.227000,0.000000,-0.238000,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,6.430000,4.240000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 108 in series string, 2 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box."
"ASE-50-ALF/17","1997",0.435000,"EFG mc-Si",36,1,3.095000,21.200000,2.826000,17.050000,0.000680,0.000022,0.997000,0.003000,-0.077000,0.000000,-0.081000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,3.075000,2.009000,1.131000,-0.131000,,"Module area = 0.435 m^2, (17.8"" x 38.0""). Weight = 6.1 kg (13.5 lb). Module with 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front and aluminum foil back, module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-50-ATF/17 (45)","1999 (E)",0.435000,"EFG mc-Si",36,1,2.900000,20.700000,2.650000,17.000000,0.000780,0.000100,0.997000,0.003000,-0.076000,0.000000,-0.079000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,2.860000,1.850000,1.131000,-0.131000,,"Module area = 0.435 m^2, (17.8"" x 38.0""). Weight = 6.1 kg (13.5 lb). Module with 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box"
"ASE-50-ATF/17 (50)","1999 (E)",0.435000,"EFG mc-Si",36,1,3.200000,21.100000,2.900000,17.200000,0.000780,0.000100,0.997000,0.003000,-0.076000,0.000000,-0.079000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,3.160000,2.040000,1.131000,-0.131000,,"Module area = 0.435 m^2, (17.8"" x 38.0""). Weight = 6.1 kg (13.5 lb). Module with 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"AstroPower AP-100","2001",0.974000,"c-Si",36,1,7.069000,20.990000,6.192000,16.070000,0.000402,-0.000248,0.976000,0.024000,-0.080400,0.000000,-0.087800,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.988000,0.012000,6.800000,4.320000,1.094000,-0.094000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions. Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-100","2000 (E)",0.974000,"c-Si",36,1,7.200000,20.100000,6.200000,16.100000,0.000330,-0.000420,0.997000,0.003000,-0.084000,0.000000,-0.084000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,7.000000,4.320000,1.123000,-0.123000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions. Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-110","1999 (E)",0.974000,"c-Si",36,1,7.500000,20.700000,6.600000,16.700000,0.000330,-0.000420,0.997000,0.003000,-0.084000,0.000000,-0.084000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,7.300000,4.600000,1.123000,-0.123000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C"
"AstroPower AP-110","2001",0.974000,"c-Si",36,1,6.990000,21.450000,6.110000,17.030000,0.000416,-0.000100,0.927000,0.073000,-0.085200,0.000000,-0.085300,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.967000,0.033000,6.800000,4.300000,1.072000,-0.072000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-120","2001",0.974000,"c-Si",36,1,7.320000,21.520000,6.520000,16.820000,0.000141,-0.000749,1.013000,-0.013000,-0.085200,0.000000,-0.086400,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.994000,0.006000,7.150000,4.600000,1.126000,-0.126000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual  bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-120","1999 (E)",0.974000,"c-Si",36,1,7.700000,21.000000,7.100000,16.900000,0.000320,-0.000470,0.997000,0.003000,-0.084000,0.000000,-0.084000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,7.650000,5.000000,1.123000,-0.123000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual  bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-1206","1998",0.974000,"c-Si",36,1,7.407000,21.190000,6.629000,16.360000,0.000330,-0.000420,0.997000,0.003000,-0.085000,0.000000,-0.086000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,7.265000,4.672000,1.123000,-0.123000,,"Area = 0.974 m^2, (26.0"" x 58.1""). Weight = 11.9 kg (26.1 lb). Module with 36 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with installed bypass diodes, and conduit provisions."
"AstroPower AP-130","2002 (E)",1.120000,"c-Si",42,1,7.600000,24.600000,6.900000,18.900000,0.000201,-0.000423,0.995000,0.005000,-0.095400,0.000000,-0.098400,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.989000,0.011000,7.510000,4.900000,1.118000,-0.118000,,"Area = 1.121 m^2, (38.3"" x 45.4""). Weight = 12.0 kg (26.5 lb). Module with 40 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with three  bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C"
"AstroPower AP-130","2001",1.120000,"c-Si",42,1,7.350000,25.070000,6.570000,19.460000,0.000201,-0.000423,0.995000,0.005000,-0.095400,0.000000,-0.098400,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.989000,0.011000,7.260000,4.590000,1.118000,-0.118000,,"Area = 1.121 m^2, (38.3"" x 45.4""). Weight = 12.0 kg (26.5 lb). Module with 40 large-area (240 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with three  bypass diodes, and conduit provisions.  Max array voltage = 600 Vdc.  Max fuse = 15 A.  NOCT = 45 C."
"AstroPower AP-50","2000 (E)",0.567000,"c-Si",40,1,3.300000,21.500000,3.000000,16.700000,0.000330,-0.000420,0.997000,0.003000,-0.093000,0.000000,-0.093000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,3.250000,2.150000,1.123000,-0.123000,,"Area = 0.567 m^2, (26.0"" x33.8""). Weight = 7.5 kg (16.6 lb). Module with 40  (120 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes.  Max fuse = 5 A.  NOCT = 45 C."
"AstroPower AP-50","2001",0.567000,"c-Si",40,1,3.200000,21.990000,2.790000,17.140000,0.000885,0.000529,0.980000,0.020000,-0.094400,0.000000,-0.103000,0.000000,1.549000,-0.066500,-11.424500,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.992000,0.008000,3.090000,1.950000,1.109000,-0.109000,,"Area = 0.567 m^2, (26.0"" x33.8""). Weight = 7.5 kg (16.6 lb). Module with 40  (120 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes.  Max fuse = 5 A.  NOCT = 45 C."
"AstroPower AP-65","1999 (E)",0.631000,"c-Si",36,1,4.600000,20.500000,4.000000,16.300000,0.000077,-0.000860,0.997000,0.003000,-0.085000,0.000000,-0.083000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,4.470000,2.780000,1.123000,-0.123000,,"Area = 0.631 m^2, (20.7"" x 47.2""). Weight = 8.2 kg (18.1 lb). Module with 36 (150 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with installed bypass diodes, and conduit provisions. Max array voltage = 600 Vdc.  Max fuse = 10 A.  NOCT = 45 C."
"AstroPower AP-75","1999 (E)",0.631000,"c-Si",36,1,4.800000,21.000000,4.400000,17.000000,0.000150,-0.000610,0.997000,0.003000,-0.085000,0.000000,-0.083000,0.000000,1.404000,-0.177540,-11.065210,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.984000,0.016000,4.750000,3.100000,1.123000,-0.123000,,"Area = 0.631 m^2, (20.7"" x 47.2""). Weight = 8.2 kg (18.1 lb). Module with 36 (150 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions. Max array voltage = 600 Vdc.  Max fuse = 10 A.  NOCT = 45 C"
"AstroPower AP-75","2001",0.631000,"c-Si",36,1,4.510000,21.380000,3.990000,16.970000,0.000351,-0.000198,0.956000,0.044000,-0.086500,0.000000,-0.086300,0.000000,1.620000,0.339910,-8.523800,0.918000,0.068713,-0.010438,0.000725,-0.000020,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.560000,-0.075000,0.977000,0.023000,4.300000,2.900000,1.036000,-0.036000,,"Area = 0.631 m^2, (20.7"" x 47.2""). Weight = 8.2 kg (18.1 lb). Module with 36 (150 cm^2) crystalline  silicon cells connected in series. Anodized aluminum frame, tempered glass front sheet, Tedlar backsheet, module laminated with EVA.  Junction box with dual bypass diodes, and conduit provisions. Max array voltage = 600 Vdc.  Max fuse = 10 A.  NOCT = 45 C."
